Alternatives,$COMET_{pref}$,$COCOSO_{pref}$,$EDAS_{pref}$,$MAIRCA_{pref}$,$MABAC_{pref}$
18.0,0.3381296611371393,1.1995958711050585,0.23989967676834803,0.0317162740067898,-0.17559493609922125
15.0,0.3591213579448875,1.3500705834967208,0.061926491845998966,0.0297890404843148,-0.13705026564972123
8.0,0.3604688499723578,1.2594571377247954,0.10110996872942742,0.02958603205408819,-0.13299009704518908
16.0,0.3657625484154535,1.221288027074308,0.20722863721565662,0.03095288023228354,-0.16032706060909607
14.0,0.46139410155364025,1.4093701926202045,0.1721744778405267,0.028025236869347703,-0.1017741933503793
11.0,0.5237023838094168,1.5346660380837123,0.23251052185958998,0.026750468321127666,-0.0762788223859785
2.0,0.5723478251675767,1.5824812966727575,0.2508331072953311,0.025186111625423616,-0.044991688471897606
5.0,0.6628286506763583,1.7462430581044912,0.3651368228046449,0.022738519331820202,0.003960157400170659
10.0,0.717991821779898,1.9827036545825498,0.657445410880096,0.018304148818161985,0.092647567673335
3.0,0.717991821779898,1.9827036545825498,0.657445410880096,0.018304148818161985,0.092647567673335
1.0,0.7187979679525975,2.0145565326583923,0.4163788470532072,0.020775477354004458,0.04322099695648553
19.0,0.7278543650321562,1.8006817264327586,0.3987593321158683,0.02113367861847139,0.03605697166714684
7.0,0.7508348069095121,1.9103140390471227,0.39253286490819383,0.0202955917612388,0.05281870881179876
4.0,0.779130747097388,1.9693930709960203,0.4929084141476894,0.01888126164302744,0.08110531117602597
9.0,0.8058888906507956,1.8589714103816761,0.4464833998205566,0.0188366609736555,0.08199732456346462
12.0,0.8489522616916102,2.1127852789732735,0.5778000117968903,0.017300072984644768,0.11272908434367936
13.0,0.9484428028899595,2.256902686802189,0.72828759146123,0.011843985558417145,0.2218508328682318
20.0,0.9484428028899595,2.256902686802189,0.72828759146123,0.011843985558417145,0.2218508328682318
17.0,0.9575056848838382,2.2646481875783238,0.7523916705369,0.011532448102538253,0.22808158198580966
6.0,0.9708377207230422,2.214526220913201,0.8878405044054514,0.009456316388716149,0.26960421626225173
